468	Defense	13	49	6	12:11:27 AM
469	Pass	6	38	6	12:11:29 AM
470	Spike	2	62	6	12:11:31 AM
471	Spiked	2	31	6	12:11:33 AM
472	Defense	13	41	6	12:11:36 AM
473	Pass	2	45	6	12:11:38 AM
474	Spike	9	56	6	12:11:40 AM
475	Spiked	9	67	6	12:11:40 AM
476	Defense	5	48	6	12:11:45 AM
477	Pass	6	67	6	12:11:46 AM
478	Spike	9	65	6	12:11:47 AM
479	Spiked	9	62	6	12:11:48 AM
480	Served	9	Side Out 2	6	12:12:07 AM
481	Defense	13	39	6	12:12:20 AM
482	Pass		Side Out 1	6	12:12:22 AM
483	Served	6	26	6	12:13:00 AM
484	Defense	9	24	6	12:13:04 AM
485	Pass	6	57	6	12:13:06 AM
486	Spike	9	81	6	12:13:08 AM
487	Served	6	25	6	12:13:30 AM
488	Defense	9	20	6	12:13:34 AM
489	Pass	6	66	6	12:13:36 AM
490	Spike	5	77	6	12:13:36 AM
491	Ground		50	6	12:13:37 AM
492	Defense	13	32	6	12:13:53 AM
493	Pass	6	67	6	12:13:55 AM
494	Spike	4	81	6	12:13:56 AM
495	Defense	2	74	6	12:13:57 AM
496	Pass	6	68	6	12:13:59 AM
497	Spike	2	73	6	12:14:00 AM
498	Spiked	2	31	6	12:14:01 AM
499	Served	2	30	6	12:14:24 AM
500	Ground		80	6	12:14:28 AM
501	Defense	18	44	6	12:14:49 AM
502	Ground		41	6	12:14:50 AM
503	Defense	18	44	6	12:15:04 AM
504	Pass	6	50	6	12:15:06 AM
505	Spike	4	73	6	12:15:07 AM
506	Spiked	4	31	6	12:15:08 AM
507	Served	4	14	6	12:15:29 AM
508	Defense	4	23	6	12:15:48 AM
509	Pass	5	61	6	12:15:50 AM
510	Spike	9	Side Out 3	6	12:15:51 AM
511	Spiked	9	38	6	12:15:52 AM
512	Defense	5	67	6	12:16:00 AM
513	Pass	6	67	6	12:16:00 AM
514	Spike	9	80	6	12:16:03 AM
515	Spiked	9	47	6	12:16:03 AM
516	Served	5	32	6	12:16:24 AM
517	Defense	5	47	6	12:16:26 AM
518	Pass	6	66	6	12:16:28 AM
519	Spike	18	74	6	12:16:29 AM
520	Spiked	18	22	6	12:16:30 AM
521	Ground		13	6	12:16:35 AM
522	Ground		5	6	12:16:52 AM
523	Defense	4	22	7	12:00:40 AM
524	Pass	6	78	7	12:00:42 AM
525	Spiked	6	44	7	12:00:43 AM
526	Defense	13	42	7	12:00:46 AM
527	Pass	6	78	7	12:00:48 AM
528	Spike	9	Side Out 3	7	12:00:49 AM
529	Defense	4	31	7	12:01:04 AM
530	Pass	6	68	7	12:01:05 AM
531	Spike	9	71	7	12:01:07 AM
532	Spiked	9	35	7	12:01:08 AM
533	Defense	18	48	7	12:01:12 AM
534	Pass	6	66	7	12:01:14 AM
535	Spike	9	81	7	12:01:15 AM
